Title,Year of Release,Rating,Number of Reviews,Popularity Index,Movie Cast,Director,Description
Bombay,1995,8.1,13K,"31,449","['Arvind Swamy', 'Manisha Koirala', 'Nassar', 'Kitty', 'Master Harsha', 'Master Hriday', 'Prakash Raj', 'Tinnu Anand', 'Akash Khurana', 'Sonali Bendre', 'Nagendra Prasad', 'M.V. Vasudeva Rao', 'Ratnakar', 'Rallapalli', 'Deesh Mariwala', 'Vinay Malhotra', 'Pramod Menon', 'Arun']",Mani Ratnam,"A Hindu man and a Muslim woman fall in love in a small village and move to Mumbai, where they have two children. However, growing religious tensions and erupting riots threaten to tear the family apart."
K.G.F. Chapter 2,2022,8.4,114K,"1,008","['Yash', 'Sanjay Dutt', 'Raveena Tandon', 'Srinidhi Shetty', 'Achyuth Kumar', 'Prakash Raj', 'Rao Ramesh', 'Malavika Avinash', 'T.S. Nagabharana', 'Easwari Rao', 'Archana Jois', 'Harish Rai', 'Ayyappa P. Sharma', 'Balakrishna', 'Saran Shakthi', 'B.S. Avinash', 'Lakki Lakshman', 'Vasishta N. Simha']",Prashanth Neel,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
Oru Vadakkan Veeragatha,1989,8.7,5.6K,"71,464","['Mammootty', 'Madhavi', 'Devan', 'Suresh Gopi', 'Balan K. Nair', 'Oduvil Unnikrishnan', 'Ramu', 'Tony', 'Soorya', 'Chitra', 'Sukumari', 'Captain Raju', 'V.K. Sriraman', 'Geetha', 'Kumari Joemol', 'Raghu', 'Johny', 'Vineeth Kumar']",T. Hariharan,The film offers an alternative version of the fight between two legendary Chekavars from Chanthu's perspective.
Bommarillu,2006,8.2,9.5K,"50,757","['Siddharth', ""Genelia D'Souza"", 'Prakash Raj', 'Kota Srinivasa Rao', 'Jayasudha', 'Dharmavarapu Subramanyam', 'Sunil', 'Brahmanandam', 'Tanikella Bharani', 'Neha Bamb', 'Murali Mohan', 'Chitram Seenu', 'Ravi Varma', 'Surekha Vani', 'Satya Krishnan', 'Chalapathi Rao', 'Narsing Yadav', 'Saira Bhanu']",Bommarillu Baskar,A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.
Indian,1996,8.1,13K,"27,111","['Kamal Haasan', 'Sukanya', 'Manisha Koirala', 'Urmila Matondkar', 'Nedumudi Venu', 'Goundamani', 'Kasthuri', 'Aruna Irani', 'Aachi Manorama', 'Crazy Mohan', 'Senthil', 'Ajay Ratnam', 'Nizhalgal Ravi', 'Bala Singh', 'Johny Lever', 'Sagar Salunkhe', 'Sudha']",S. Shankar,A veteran freedom fighter enraged with the rising crime and corruption in the society murders all the wrong doers one by one using an ancient martial arts technique.
K.G.F. Chapter 1,2018,8.2,79K,"3,819","['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois', 'Anant Nag', 'Vasishta N. Simha', 'Achyuth Kumar', 'Srinivasa Murthy', 'Balakrishna', 'Lakshmipathi', 'Ramesh Indhira', 'Harish Rai', 'Dinesh Mangaluru', 'Ayyappa P. Sharma', 'Krishnappa', 'Anmol Vijay Bhatkal', 'Malavika Avinash', 'Joy Badlani']",Prashanth Neel,"In the 1970s, a gangster goes undercover as a slave to assassinate the owner of a notorious gold mine."
The Great Indian Kitchen,2021,8.2,8.4K,"21,281","['Nimisha Sajayan', 'Suraj Venjaramoodu', 'Ajitha V.M.', 'T. Suresh Babu', 'Anupama V.P.', 'M.V. Suresh Babu', 'Nishitha Kallingal', 'Sidhartha Siva', 'Gireesh Perincheeri', 'Ramadevi Kannanchery', 'Kabani', 'Aparna Sivakami', 'Suresh Achoos', 'Anagha Ashok', 'Favin Ashraf', 'Jeo Baby', 'Anna Fathima', 'Manal Hadil']",Jeo Baby,"After marriage, a woman struggles to be the submissive wife that her husband and his family expect her to be. The story follows her journey, as she changes herself and, even more so, changes the household."
Haider,2014,8.1,55K,"11,527","['Shahid Kapoor', 'Tabu', 'Shraddha Kapoor', 'Kay Kay Menon', 'Narendra Jha', 'Kulbhushan Kharbanda', 'Lalit Parimoo', 'Ashish Vidyarthi', 'Aamir Bashir', 'Sumeet Kaul', 'Rajat Bhagat', 'Ashwath Bhatt', 'Irrfan Khan', 'Anshuman Malhotra', 'Lankesh Bhardwaj', 'Javaid Khan', 'Pankaj Kumar', 'Bhawani Muzamil']",Vishal Bhardwaj,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
Rangasthalam 1985,2018,8.2,24K,"7,455","['Ram Charan', 'Samantha Ruth Prabhu', 'Aadhi', 'Jagapathi Babu', 'V.K. Naresh', 'Prakash Raj', 'Anasuya Bharadwaj', 'Rohini', 'Mahesh Achanta', 'Annie', 'Banerjee', 'Brahmaji', 'Ajay Ghosh', 'Vajja Venkata Giridhar', 'Jeeva', 'Rajeev Kanakala', 'Pujita Ponnada', 'Satya']",Sukumar,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.
Mughal-E-Azam,1960,8.1,8.2K,"34,170","['Prithviraj Kapoor', 'Madhubala', 'Dilip Kumar', 'Durga Khote', 'Nigar Sultana', 'Ajit Khan', 'M. Kumar', 'Murad', 'Jillo', 'Vijayalaxmi', 'S. Nazir', 'Sheila Dalaya', 'Surendra', 'Johnny Walker', 'Jalal Agha', 'Tabassum Govil', 'Gopi Krishna', 'Jago']",K. Asif,A 16th century prince falls in love with a court dancer and battles with his emperor father.
Dilwale Dulhania Le Jayenge,1995,8,69K,"9,642","['Shah Rukh Khan', 'Kajol', 'Amrish Puri', 'Farida Jalal', 'Anupam Kher', 'Parmeet Sethi', 'Mandira Bedi', 'Satish Shah', 'Himani Shivpuri', 'Pooja Ruparel', 'Achala Sachdev', 'Damyanti Puri', 'Lalit Tiwari', 'Hemlata Deepak', 'Mohit Kumar', 'Mansoor Merchant', 'Govind Khatri', 'Rajesh Bhatija']",Aditya Chopra,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
Special 26,2013,8,56K,"22,961","['Akshay Kumar', 'Anupam Kher', 'Manoj Bajpayee', 'Jimmy Shergill', 'Kajal Aggarwal', 'Divya Dutta', 'Kishore Kadam', 'Rajesh Sharma', 'Deepraj Rana', 'Vipin Sharma', 'Sukhwinder Chahal', 'Abha Parmar', 'Mukesh S. Bhatt', 'Ujjwal Chopra', 'Tiku Talsania', 'Paritosh Sand', 'Aparna Ghoshal', 'Sumeet']",Neeraj Pandey,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
Maqbool,2003,8,11K,"19,840","['Irrfan Khan', 'Tabu', 'Pankaj Kapur', 'Naseeruddin Shah', 'Om Puri', 'Piyush Mishra', 'Masumeh Makhija', 'Ajay Gehi', 'Abbas Tyrewala', 'Deepak Dobriyal', 'Gyanchand Rikki', 'Manav Kaushik', 'Ankur Vikal', 'Pubali Sanyal', 'Raj', 'Murli Sharma', 'Firdous Irani', 'Vivek Mushran']",Vishal Bhardwaj,The intrigue of the Shakespearean tragedy 'Macbeth' is transposed to the Mumbai underworld.
Athadu,2005,8.2,14K,"67,887","['Mahesh Babu', 'Trisha Krishnan', 'Prakash Raj', 'Sonu Sood', 'Kota Srinivasa Rao', 'Nassar', 'Giri Babu', 'Brahmanandam', 'Dharmavarapu Subramanyam', 'Ajay', 'Joy Badlani', 'Tanikella Bharani', 'Brahmaji', 'Rahul Dev', 'Vajja Venkata Giridhar', 'Gundu Hanumantha Rao', 'Hema', 'Rajeev Kanakala']",Trivikram Srinivas,"A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police."
Andaz Apna Apna,1994,8,53K,"14,007","['Aamir Khan', 'Salman Khan', 'Raveena Tandon', 'Karisma Kapoor', 'Paresh Rawal', 'Shakti Kapoor', 'Shehzad Khan', 'Viju Khote', 'Deven Verma', 'Jagdeep', 'Mehmood', 'Tiku Talsania', 'Suresh Bhagwat', 'Harish Patel', 'Javed Khan Amrohi', 'Anand Mishra', 'Sanjay Batra', 'Govinda']",Rajkumar Santoshi,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.
Maanaadu,2021,8.3,22K,"8,680","['Silambarasan Rajendar', 'S.J. Suryah', 'Kalyani Priyadarshan', 'S.A. Chandrashekhar', 'Anjena Kirti', 'Y.G. Mahendran', 'Daniel Annie Pope', 'Chandrasekhar', 'Karunakaran', 'Premgi Amaren', 'Manoj K. Bharathi', 'Aravind Akash', 'Subbu Panchu', 'Mahat Raghavendra']",Venkat Prabhu,"On the day of a public conference by the state's Chief Minister, his bodyguard and a police officer are stuck in a time loop."
Thadam,2019,8.2,7.2K,"29,772","['Arun Vijay', 'Tanya Hope', 'Smruthi Venkat', 'Fefsi Vijayan', 'Yogi Babu', 'Sonia Agarwal', 'Vidya Pradeep', 'George Maryan', 'Meera Krishnan', 'Thanigai', 'Suruli']",Magizh Thirumeni,The murder of a youngster creates confusion among cops when they discover the suspect has a lookalike.
Padayappa,1999,8.2,7K,"66,553","['Shivaji Ganesan', 'Rajinikanth', 'Ramya Krishnan', 'Soundarya', 'Abbas', 'Lakshmi', 'Manivannan', 'Radha Ravi', 'Sithara', 'Nassar', 'Senthil', 'Ramesh Khanna', 'Vadivukkarasi', 'Sathyapriya', 'Prakash Raj', 'Mansoor Ali Khan', 'Vasu Vikram', 'Anu Mohan']",K.S. Ravikumar,"The death of Padaiyappa's father destroys his family. But his luck changes, and he is able to lead a prosperous life, until his nemesis plots to ruin his happiness once more."
Pelli Choopulu,2016,8.2,7.4K,"29,247","['Abhay Bethiganti', 'Keshav Deepak', 'Vijay Deverakonda', 'Anish Kuruvilla', 'Padmaja Lanka', 'Gururaj Manepalli', 'Priyadarshi', 'Kedar Shankar', 'Sawkar Siddhanth', 'Sujatha', 'Ritu Varma']",Tharun Bhascker Dhaassyam,A wannabe businesswoman and a happy-go-lucky guy meet each other during an arranged marriage blind date but eventually team up to start a food truck on their own.
Vaaranam Aayiram,2008,8.2,13K,"34,653","['Suriya', 'Simran', 'Ramya', 'Sameera Reddy', 'Prithviraj', 'Deepa Narendran', 'Karthik', 'Shanker Koladi', 'Vtv Ganesh', 'Sathish', 'Veera Bahu', 'Gautham Vasudev Menon', 'Pawl Bazile', 'Brian Jennings', 'Dhanusha Murugasan', 'Shreya Gupto', 'Sathish Krishnan', 'Sacchin Nachiappan']",Gautham Vasudev Menon,"A father and son help each other through growing up, romance, tragedy, and adventure."
Android Kunjappan Version 5.25,2019,8.2,5.9K,"30,179","['Soubin Shahir', 'Suraj Venjaramoodu', 'Kendy Zirdo', 'Saiju Kurup', 'Sooraj Thelakkadu', 'Maala Parvathi', 'Rajesh Madhavan', 'Sivadas Kannur', 'Unni Raja', 'Renji Kankol', 'Megha Mathew', 'Danil Akufa', 'Ragu Annur', 'Shivadas C.', 'Jathana C.V.', 'Rajesh Cochin', 'Suchithra Devi', 'Don']",Ratheesh Balakrishnan Poduval,"Story of a conventional, conservative small town villager and his son who has to move away from home due to his profession. Their relationship gets an endearing twist when an AI humanoid enters their lives and fills in their emptiness."
Gulaal,2009,8,15K,"24,505","['Kay Kay Menon', 'Raj Singh Chaudhary', 'Raja Chaudhary', 'Jesse Randhawa', 'Deepak Dobriyal', 'Ayesha Mohan', 'Mahie Gill', 'Piyush Mishra', 'Abhimanyu Singh', 'Aditya Srivastav', 'Mukesh S. Bhatt', 'Pankaj Jha', 'Savi Sidhu', 'Vasan Bala', 'Jyoti Dogra', 'Ghanshyam Garg', 'Chittaranjan Giri', 'Neel Guha']",Anurag Kashyap,"A law student witnesses deception, homicide, and crime after being elected as General Secretary of his college."
Gully Boy,2019,7.9,39K,"7,171","['Ranveer Singh', 'Alia Bhatt', 'Siddhant Chaturvedi', 'Vijay Raaz', 'Amruta Subhash', 'Jyoti Subhash', 'Vijay Varma', 'Kalki Koechlin', 'Ikhlaque Khan', 'Sheeba Chaddha', 'Ayaan Zubair Rahmani', 'Rahul Piske', 'Nakul Roshan Sahdev', 'Vijay Maurya', 'Srishti Shrivastava', 'Mallika Singh', 'Tina Bhatia', 'Jasleen Royal']",Zoya Akhtar,A coming-of-age story based on the lives of street rappers in Mumbai.
Naduvula Konjam Pakkatha Kaanom,2012,8.2,5.9K,"55,549","['Vijay Sethupathi', 'Gayathrie', 'Bagavathi Perumal', 'Rajkumar', 'Vigneswaran', 'Raju Sivasankaran M', 'Kameshwara Rao', 'Sundara Raman', 'Kannaiyan', 'Usha', 'Madhumathi']",Balaji Tharaneetharan,"A young man forgets a few years of his life, even as he is about to get married."
Ugly,2013,7.9,22K,"15,004","['Rahul Bhatt', 'Ronit Roy', 'Tejaswini Kolhapure', 'Vineet Kumar Singh', 'Surveen Chawla', 'Siddhant Kapoor', 'Sandesh Jadhav', 'Anshikaa Shrivastava', 'Murari Kumar', 'Abir Goswami', 'Madhavi Singh', 'Manoj Kolhatkar', 'Ajay Purkar', 'Girish Kulkarni', 'Jayant Gadekar', 'Prakash Ramchandani', 'Sameer Patil', 'Abhijeet Chavan']",Anurag Kashyap,The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.
Badhaai ho,2018,8,34K,"10,259","['Sanya Malhotra', 'Ayushmann Khurrana', 'Aahil World', 'Neena Gupta', 'Sheeba Chaddha', 'Ratheesh Balakrishnan Poduval', 'Manoj Bakshi', 'Vikash Rajput', 'Surekha Sikri', 'Shubham Rangra', 'Gajraj Rao', 'Alka Amin', 'Backagaindancer', 'Mohammad Salman Khan', 'Raj Sharma', 'Farabi Md Refat', 'Tarun Bali', 'Alka Badola Kaushal']",Amit Ravindernath Sharma,A man is embarrassed when he finds out his mother is pregnant.
Deewaar,1975,8,11K,"27,694","['Amitabh Bachchan', 'Shashi Kapoor', 'Nirupa Roy', 'Parveen Babi', 'Neetu Singh', 'Manmohan Krishna', 'Madan Puri', 'Iftekhar', 'Satyendra Kapoor', 'Sudhir', 'Rajpal', 'Jagdish Raj', 'Kuljit Singh', 'Raj Kishore', 'Yunus Parvez', 'Sarveshwar', 'Mohan Sherry', 'Alankar Joshi']",Yash Chopra,"Vijay struggles as a dockworker and eventually becomes a leading figure of the underworld, while his younger brother Ravi is an educated, upright policeman. This divide causes problems in their relationship."
Vaastav: The Reality,1999,8,14K,"26,650","['Sanjay Dutt', 'Namrata Shirodkar', 'Reema Lagoo', 'Shivaji Satam', 'Sanjay Narvekar', 'Deepak Tijori', 'Mohnish Behl', 'Paresh Rawal', 'Ekta Sohini', 'Mohan Joshi', 'Kashmira Shah', 'Ashish Vidyarthi', 'Himani Shivpuri', 'Usha Nadkarni', 'Achyut Potdar', 'Kishore Nandlaskar', 'Sunil Shende', 'Jack Gaud']",Mahesh Manjrekar,Consequences force an innocent man to get involved in crime after making an error.
Company,2002,8,15K,"26,062","['Ajay Devgn', 'Mohanlal', 'Manisha Koirala', 'Seema Biswas', 'Vivek Oberoi', 'Antara Mali', 'Akash Khurana', 'Madan Joshi', 'Bharat Dabholkar', 'Ganesh Yadav', 'Ashraf Ul Haq', 'Akshay Verma', 'Vijay Raaz', 'Mukesh S. Bhatt', 'Manoj Goyal', 'Rajpal Naurang Yadav', 'Sabir Masani', 'Noor Mani']",Ram Gopal Varma,"A small-time gangster named Chandu teams up with Malik, a low-level enforcer for a criminal syndicate. Together they eliminate all their enemies, becoming the most feared gangsters in Mumbai."
Evaru,2019,8.2,5.8K,"9,098","['Adivi Sesh', 'Regina Cassandra', 'Naveen Chandra', 'Murli Sharma', 'Dheeraj Aathreya', 'Rajiv Kumar Aneja', 'Thimmareddy Baitinti', 'Vishnu Besi', 'Nihal Kodhaty', 'Pavitra Lokesh', 'Munishwar', 'Sanjay Raichur', 'Eenadu Ramana', 'Srinivas Rao', 'Raja Ravindra', 'Manik Reddy', 'Pammi Sai', 'Sandhya']",Venkat Ramji,Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case he uncovers some surprising facts.
Kshanam,2016,8.2,5.5K,"23,816","['Adivi Sesh', 'Adah Sharma', 'Anasuya Bharadwaj', 'Satyadev Kancharana', 'Vennela Kishore', 'Ravi Varma', 'Satyam Rajesh', 'Dolly', 'Abuzy', 'Marcellein Koffi Houessou', 'Kunle Awosanya', 'Seedha Ahmed', 'Raviraja', 'Trinadh Koti', 'Shashank Kalavala', 'Vaishnavi Sridhar', 'Nicola Vann', 'Scot Weaver']",Ravikanth Perepu,"Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter."
Ulidavaru Kandanthe,2014,8.4,8.1K,"43,208","['Kishore Kumar G.', 'Rakshit Shetty', 'Thara', 'Achyuth Kumar', 'Rishab Shetty', 'Sheetal Shetty', 'Yagna Shetty', 'Dinesh Mangaluru', 'Raghu Pandeshwar', 'B. Suresha', 'Pramod Shetty', 'Kavya Hande', 'Sohan Shetty', 'K.P. Hegde', 'Raghavendra P. Hegde', 'Shivananda Kota', 'Prabhakar Kunder', 'Arun Prakash Shetty']",Rakshit Shetty,"A journalist sets out to uncover the truth behind an incident, through the perspectives of different people, unraveling how they and their lives are intertwined with it."
Padosan,1968,8,6.9K,"96,355","['Sunil Dutt', 'Saira Banu', 'Mehmood', 'Kishore Kumar', 'Om Prakash', 'Agha', 'Mukri', 'Sunder', 'Ganga', 'Praveen Paul', 'Keshto Mukherjee', 'Raj Kishore', 'Dulari', 'Ratna', 'Moolchand', 'Jankidas', 'Niranjan Tiwari']",Jyoti Swaroop,A simple man from a village falls in love with his new neighbor. He enlists the help of his musical-theater friends to woo the lovely girl-next-door away from her music teacher.
Aadukalam,2011,8.1,6.3K,"25,140","['Dhanush', 'Taapsee Pannu', 'Jayabalan', 'Kishore Kumar G.', 'Aadukalam Naren', 'V. Jayaprakash', 'Meenal', 'Murugadass', 'Alwa Vasu', 'Sendrayan', 'Mozammel Hoshen Chowdhury', 'Munnar Ramesh', 'Periya Karuppu Thevar', 'Velraj', 'Dinesh']",Vetrimaaran,"In a village in South India, rearing roosters, maintaining them and using them for fights are a way of life and a matter of honor and lifeline to many people."
Maanagaram,2017,8.1,6K,"8,325","['Sundeep Kishan', 'Sri', 'Regina Cassandra', 'Charlie', 'Munishkanth', 'Sha Ra', 'Arun Alexander', 'Madhusudhan', 'Ravi Venkat', 'Sai Dheena', 'Tiger Thangadurai', 'Karthik Yogi', 'Amresh', 'Vivek Prasanna', 'Sathish Kumar', 'Saravanan', 'R.S. Karthik', 'Dhuruva']",Lokesh Kanagaraj,Four youngsters arrive in a big city and their lives become interlinked.
Nayattu,2021,8.1,7.1K,"21,944","['Kunchacko Boban', 'Joju George', 'Nimisha Sajayan', 'Jaffer Idukki', 'Yama Gilgamesh', 'Anil Nedumangad', 'Dineesh P.', 'Vinod Sagar', 'Ajith Koshy', 'Jithu Asharef', 'Hakkim Shajajahan', 'Kiran Peethambaran', 'Manohari Joy', 'Sminu Sijo', 'Arafath', 'Kanakam', 'Jineesh Chandran', 'Monica']",Martin Prakkat,"Three police officers who are on a run for life, escaping the outbreak against them due to the unlawful arrest and torture of a civilian. It brings in a few shades of arrogant yet very much human police officers and their helplessness."
Thondimuthalum Dhriksakshiyum,2017,8.1,6.6K,"22,962","['Fahadh Faasil', 'Suraj Venjaramoodu', 'Nimisha Sajayan', 'Alencier Ley Lopez', 'Sibi Thomas', 'Sivadas Kannur', 'S.K. Mini', 'Srikant Murali', 'Vettukili Prakash', 'Nimisha Sunny']",Dileesh Pothan,"Prasad and Sreeja enter wedlock and move to a new place to continue the rest of their lives. Unfortunate events begin to take place after Prasad, a small-time thief, robs Sreeja's gold chain during a bus journey."
Dev. D,2009,7.9,31K,"14,466","['Abhay Deol', 'Mahie Gill', 'Kalki Koechlin', 'Dibyendu Bhattacharya', 'Manoj Bakshi', 'Gurkirtan', 'Satwant Kaur', 'Parakh Madan', 'Kuldeep Sharma', 'Jimi the Quiff', ""Ammo 'Too Sweet'"", 'Sanjay Kumar', 'Sinbad Phgura', 'Asim Sharma', 'Helen Jones', 'Binnu Dhillon', 'Nawazuddin Siddiqui', 'Nitin Chainpuri']",Anurag Kashyap,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
Major,2022,8.3,18K,274,"['Adivi Sesh', 'Saiee Manjrekar', 'Prakash Raj', 'Sobhita Dhulipala', 'Revathi', 'Murli Sharma', 'Anish Kuruvilla', 'Azzy Bagria', 'Rocky Gondle', ""Andre' Mathews"", 'Devtosh Mukherjee', 'Vinay Nallakadi', 'Abhinav Singh Raghav', 'Pradeep Rudra', 'Abed Sarker', 'Bj��rn Seiz', 'Chanakya Tejas', 'Gyanchandani Var",Sashi Kiran Tikka,"Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009."
My Name is Khan,2010,7.9,106K,"7,077","['Shah Rukh Khan', 'Kajol', 'Sheetal Menon', 'Katie Amanda Keane', 'Kenton Duty', 'Benny Nieves', 'Christopher B. Duncan', 'Jimmy Shergill', 'Sonya Jehan', 'Parvin Dabas', 'Arjun Mathur', 'Sugandha Garg', 'Zarina Wahab', 'S.M. Zaheer', 'Arif Zakaria', 'Vinay Pathak', 'Sumeet Raghavan', 'Tanay Chheda']",Karan Johar,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
Pranchiyettan and the Saint,2010,8.3,5.8K,"56,778","['Jesse Fox Allen', 'Innocent', 'Mammootty', 'Biju Menon', 'Priyamani', 'Tini Tom', 'Jayaraj Warrier', 'Siddique', 'Jagathi Sreekumar', 'Idavela Babu', 'Balachandran Chullikadu', 'Ganapathi', 'Shivaji Guruvayoor', 'Sasi Kalinga', 'Kushboo', 'Chali Pala', 'V.K. Sriraman', 'Sadiq']",Ranjith,Pranchiyettan is a successful businessman who often has talks with an imaginary St. Francis of Assisi. The story deals with how he goes about changing his embarrassing image to making a name for himself using wealth and contacts.
Take Off,2017,8.1,6.4K,"29,390","['Parvathy Thiruvothu', 'Fahadh Faasil', 'Kunchacko Boban', 'Prakash Belawadi', 'Divya Prabha', 'Asif Ali', 'Satish Sharma', 'Prem Prakash', 'Eric Zachariah', 'Alencier Ley Lopez', 'Maala Parvathi', 'Devi Ajith', 'Tiger Ali', 'Rajesh Babu', 'Ujjwal Chopra', 'Sreeja Das', 'Rony David', 'Joju George']",Mahesh Narayanan,"In 2014, a group of Malayali nurses was captured when terrorists took over the city of Tikrit in Iraq. This movie recounts the ordeal suffered by the nurses following their capture."
Kal Ho Naa Ho,2003,7.9,69K,"6,944","['Preity Zinta', 'Shah Rukh Khan', 'Saif Ali Khan', 'Jaya Bachchan', 'Sushma Seth', 'Reema Lagoo', 'Lillete Dubey', 'Delnaaz Irani', 'Rani Mukerji', 'Athit Naik', 'Jhanak Shukla', 'Sonali Bendre', 'Satish Shah', 'Sulabha Arya', 'Rajpal Naurang Yadav', 'Ketki Dave', 'Kamini Khanna', 'Simone Singh']",Nikkhil Advani,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
Baishe Srabon,2011,8.1,5.4K,"73,984","['Prasenjit Chatterjee', 'Parambrata Chattopadhyay', 'Raima Sen', 'Abir Chatterjee', 'Goutam Ghose', 'Rajesh Sharma', 'Sumit Samaddar', 'Anindya Pulak Banerjee', 'Aronnok', 'Arindol Bagchi', 'Anandi Basu', 'Reeta Basu', 'Joyraj Bhattacharya', 'Samir Biswas', 'Biswajit Chakraborty', 'Kalyan Chatterjee', 'Chandan Das', 'Debabrata Das']",Srijit Mukherji,An ex-cop is hired to track down a serial killer who carries out his killings according to Bengali poetry.
Arjun Reddy,2017,8,25K,"12,968","['Vijay Deverakonda', 'Shalini Pandey', 'Jia Sharma', 'Kanchana', 'Sanjay Swaroop', 'Bhushan Kalyan', 'Sandhya Janak', 'Kamal Kamaraju', 'Padmaja', 'R.J. Hemant', 'Rahul Ramakrishna', 'Priyadarshi', 'Kalyan Vitappu', 'Amit Sharma', 'Sri Sudha', 'Lahari Shari', 'Kalpalatha', 'Swaynthika']",Sandeep Reddy Vanga,"Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person."
Jab We Met,2007,7.9,53K,"9,740","['Shahid Kapoor', 'Kareena Kapoor', 'Tarun Arora', 'Dara Singh Randhawa', 'Pawan Malhotra', 'Kamal Tiwari', 'Kiran Juneja', 'Divya Seth Shah', 'Saumya Tandon', 'Nihar Thakkar', 'Manushka Khisty', 'F.J. Jussawala', 'Vishal Om Prakash', 'Rohini Sahni', 'Deepak Sharma', 'Sheikh Noor Islam', 'Basant Sinha', 'Shyam Mashalkar']",Imtiaz Ali,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
Manjhi: The Mountain Man,2015,8,19K,"48,718","['Nawazuddin Siddiqui', 'Abhinay Raj Singh', 'Radhika Apte', 'Ashutosh Acharya', 'Shahzad Ahmed', 'Aishwarya Arora', 'Suraj Bajjua', 'Vishwa Bhanu', 'Ravi Bhushan', 'Anil Chaudhary', 'Abhishek Chauhan', 'Samvedna Anish Choudhary', 'Tigmanshu Dhulia', 'Gaurav Dwivedi', 'Amar Gaikwad', 'Kumar Gautam', 'Vijay Gupta', 'Ashraf Ul Haq']",Ketan Mehta,"Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain."
Ayyappanum Koshiyum,2020,8,8.2K,"13,272","['Biju Menon', 'Prithviraj Sukumaran', 'Ranjith', 'Anil Nedumangad', 'Johny Antony', 'Shaju K.S.', 'Sabumon Abdusamad', 'Alencier Ley Lopez', 'Anu Mohan', 'Gowri Nandha', 'Reshma Rajan', 'Dhanya Ananya', 'Nanchamma', 'Rajani Murali', 'Neelanjana', 'Avani', 'Kottayam Ramesh', 'Balan Parakkal']",Sachy,"The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive."
Super 30,2019,7.9,31K,"13,577","['Hrithik Roshan', 'Mrunal Thakur', 'Nandish Singh Sandhu', 'Virendra Saxena', 'Sadhana Singh', 'Aditya Srivastav', 'Sanket Deshpande', 'Pankaj Tripathi', 'Vaibhav Gupta', 'Ali Haji', 'Rajesh Sharma', 'Deepali Kumar', 'Chittaranjan Giri', 'Ganesh Kumar', 'Vijay Kumar', 'Amit Sadh', 'Susheel Sharma', 'Abhishek Kumar']",Vikas Bahl,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
Dil Bechara,2020,8.1,130K,"14,936","['Sushant Singh Rajput', 'Sanjana Sanghi', 'Sahil Vaid', 'Saswata Chatterjee', 'Swastika Mukherjee', 'Sunit Tandon', 'Saif Ali Khan', 'Michael Muthu', 'Rajie Vijay Sarathi', 'Subbalakshmi', 'Franaita Jijana', 'Durgesh Kumar', 'Salone Mehta', 'Anandita Sarkar', 'Nimisha Dean', 'Aftab', 'Sukhesh Arora', 'Azzy Bagria']",Mukesh Chhabra,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group."
