Title,Year of Release,Rating,Number of Reviews,Popularity Index,Movie Cast,Director,Description
Black Friday,2004,8.4,21K,"18,274","['Kay Kay Menon', 'Pawan Malhotra', 'Aditya Srivastav', 'Dibyendu Bhattacharya', 'Kishore Kadam', 'Gajraj Rao', 'Zakhir Hussain', 'Somesh Agarwal', 'Akhilesh Tripathi', 'Imtiaz Ali', 'Raj Arjun', 'Ragesh Asthana', 'Sushovan Banerjee', 'Asif Basra', 'Aditya Bhattacharya', 'Uday Chandra', 'Raj Singh Chaudhary', 'Raja Chaudhary']",Anurag Kashyap,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen."
Like Stars on Earth,2007,8.3,190K,"4,046","['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra', 'Vipin Sharma', 'Sachet Engineer', 'Tanay Chheda', 'Lalitha Lajmi', 'Girija Oak', 'Ravi Khanvilkar', 'Pratima Kulkarni', 'Meghna Malik', 'Sonali Sachdev', 'Sanjay Dadhich', 'Rajgopal Iyer', 'Bugs Bhargava Krishna', 'Shankar Sachdev', 'M.K. Raina', 'Gurkirtan']",Aamir Khan,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
C/o Kancharapalem,2018,8.9,6.9K,"29,940","['Radha Bessy', 'Subba Rao Vepada', 'Praneeta Patnaik', 'Karthik Rathnam', 'Praveena Paruchuri', 'Mohan Bhagat', 'Nithyasree Goru', 'Kesava Karri', 'Appa Rao Adari', 'Janakiramayya Adari', 'Ramesh Aditya', 'Mohan Alla', 'Akula Anil', 'Apparao', 'Brahmanandam Atta', 'Kumar Avinash', 'Ammoru Babu', 'Sravani Bessy']",Venkatesh Maha,Four unconventional love stories set in the town and including the people of Kancherapalem.
#Home,2021,8.8,13K,"21,532","['Indrans', 'Sreenath Bhasi', 'Manju Pillai', 'Naslen', 'Kainakary Thankaraj', 'Johny Antony', 'Maniyanpilla Raju', 'Vijay Babu', 'Deepa Thomas', 'Srikant Murali', 'K.P.A.C. Lalitha', 'Anoop Menon', 'Aju Varghese', 'Dev Mohan', 'Pauly Valsan', 'Geethi Sangeetha', 'Linchu Joseph', 'Jianna Ros Rijin']",Rojin Thomas,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones."
Soorarai Pottru,2020,8.7,112K,"4,200","['Suriya', 'Aparna Balamurali', 'Paresh Rawal', 'R.S. Shivaji', 'Kaali Venkat', 'Urvashi', 'Gaurav Pareek', 'Aarti Desai', 'Achyuth Kumar', 'Udumalai Kalam', 'Prakash Belawadi', 'Mohan Babu', 'Dan Dhanoa', 'Vinodhini Vaidynathan', 'Prashant Kumar', 'Rajsekar Pandian', 'Karunas', 'Malini Sathappan']",Sudha Kongara,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
Dangal,2016,8.3,186K,"3,322","['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra', 'Aparshakti Khurana', 'Zaira Wasim', 'Suhani Bhatnagar', 'Ritvik Sahore', 'Girish Kulkarni', 'Ravi Aneja', 'Anurag Arora', 'Mahesh Balraj', 'Vivan Bhatena', 'Anmol Charan', 'Karamveer Choudhary', 'Ishika Gagneja', 'Badrul Islam', 'Jagbir']",Nitesh Tiwari,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
Kireedam,1989,8.9,7.7K,"65,762","['Mohanlal', 'Thilakan', 'Kaviyoor Ponnamma', 'Parvathi', 'Sankaradi', 'Murali', 'Jagathi Sreekumar', 'Maniyanpilla Raju', 'Keerikkadan Jose', 'Mammukoya', 'Jagadish', 'Oduvil Unnikrishnan', 'Usha', 'Yadu Krishnan', 'Cochin Hanifa', 'Johny']",Sibi Malayil,The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.
Kaithi,2019,8.5,27K,"1,638","['Karthi', 'Narain', 'Arjun Das', 'George Maryan', 'Harish Uthaman', 'Hareesh Peradi', 'Ramana', 'Dheena', 'Suryakanth', 'Kanna Ravi', 'Amzath Khan', 'Arun Alexander', 'Lallu', 'Vatsan Chakravarthy', 'Udayaraj', 'Kishore Rajkumar', 'Deepthi', 'Monica']",Lokesh Kanagaraj,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
Jersey,2019,8.5,17K,"9,448","['Nani', 'Shraddha Srinath', 'Sathyaraj', 'Ronit Kamra', 'Harish Kalyan', 'Viswant Duddumpudi', 'Shishir Sharma', 'Praveen', 'Sanusha', 'Brahmaji', 'V. Jayaprakash', 'Sampath Raj', 'Rao Ramesh', 'Sanjay Swaroop', 'Naveen Neni', 'Komaram Jabardasth', 'Krishna Teja', 'Sowmya']",Gowtam Tinnanuri,A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.
Thevar Magan,1992,8.7,7.1K,"25,631","['Kamal Haasan', 'Shivaji Ganesan', 'Nassar', 'Revathi', 'Gautami', 'Vadivelu', 'Thalaivasal Vijay', 'Madhan Bob', 'S.N. Lakshmi', 'Sangili Murugan', 'Kalapart Natarajan', 'Kaka Radhakrishnan', 'Neelima Rani', 'Renuka']",Bharathan,The urbane son of a village chieftain struggles between his personal aspirations and those of his family.
